Population,Murder,Rape,Robbery,Aggravated Assault,Breaking & Entering,Larceny Theft,Motor Vehicle Theft,"Violent Crime Rate per 100,000 People"
764893.0,226.0,595.0,7485.0,6030.0,13558.0,31270.0,7495.0,1874.2
784554.0,216.0,566.0,10046.0,5805.0,17774.0,38116.0,5661.0,2120.1
120387.0,5.0,34.0,103.0,314.0,1677.0,3933.0,415.0,378.8
25626.0,0.0,17.0,10.0,56.0,115.0,239.0,11.0,323.9
167529.0,4.0,30.0,33.0,275.0,542.0,1735.0,65.0,204.1
26962.0,0.0,5.0,2.0,44.0,213.0,345.0,35.0,189.2
26715.0,0.0,15.0,36.0,252.0,750.0,1422.0,79.0,1134.2
434253.0,12.0,126.0,643.0,1067.0,4259.0,13702.0,2084.0,425.6
96080.0,1.0,18.0,28.0,204.0,856.0,1670.0,101.0,261.2
932846.0,20.0,133.0,1189.0,865.0,3708.0,18181.0,2634.0,236.6
33379.0,2.0,2.0,24.0,84.0,382.0,693.0,34.0,335.5
148188.0,7.0,23.0,100.0,215.0,1067.0,2650.0,230.0,232.8
23762.0,0.0,0.0,3.0,75.0,181.0,383.0,14.0,328.3
30236.0,5.0,20.0,25.0,191.0,284.0,650.0,57.0,797.1
662646.0,34.0,166.0,1242.0,5155.0,9981.0,24298.0,2941.0,995.6
77414.0,3.0,51.0,138.0,551.0,1088.0,2842.0,241.0,959.8
16954.0,1.0,2.0,6.0,44.0,140.0,368.0,20.0,312.6
238083.0,6.0,29.0,240.0,215.0,1317.0,5261.0,704.0,205.8
660826.0,256.0,299.0,5762.0,8520.0,10960.0,30457.0,8199.0,2245.2
19954.0,0.0,2.0,15.0,59.0,125.0,249.0,17.0,380.9
27207.0,1.0,0.0,3.0,37.0,200.0,362.0,36.0,150.7
28923.0,0.0,12.0,10.0,129.0,187.0,424.0,42.0,522.1
37476.0,3.0,18.0,26.0,256.0,622.0,2153.0,114.0,808.5
102737.0,0.0,27.0,15.0,202.0,523.0,1416.0,138.0,237.5
29897.0,0.0,6.0,1.0,61.0,142.0,298.0,15.0,227.4
80835.0,2.0,15.0,6.0,67.0,361.0,1338.0,68.0,111.3
31832.0,1.0,5.0,29.0,123.0,205.0,604.0,25.0,496.4
44402.0,0.0,10.0,10.0,189.0,263.0,600.0,52.0,470.7
1041345.0,29.0,275.0,641.0,1087.0,1946.0,13820.0,768.0,195.1
64900.0,1.0,11.0,31.0,118.0,613.0,1330.0,160.0,248.1
527278.0,18.0,113.0,661.0,2137.0,2860.0,11732.0,1236.0,555.5
110733.0,11.0,42.0,116.0,477.0,838.0,3140.0,420.0,583.4
29885.0,0.0,13.0,3.0,55.0,160.0,367.0,26.0,237.6
248869.0,3.0,54.0,156.0,484.0,1019.0,2806.0,206.0,280.1
47963.0,2.0,18.0,78.0,379.0,310.0,1819.0,93.0,994.5
133882.0,3.0,28.0,89.0,399.0,714.0,2156.0,268.0,387.7
23833.0,1.0,7.0,10.0,60.0,145.0,260.0,22.0,327.3
164609.0,16.0,47.0,96.0,381.0,257.0,1669.0,203.0,328.1
76838.0,0.0,23.0,17.0,331.0,292.0,853.0,82.0,482.8
26060.0,1.0,3.0,28.0,92.0,222.0,500.0,27.0,475.8
630126.0,12.0,127.0,728.0,892.0,5430.0,17007.0,1986.0,279.2
214271.0,9.0,24.0,147.0,358.0,936.0,3668.0,403.0,251.1
91132.0,1.0,15.0,19.0,76.0,148.0,726.0,48.0,121.8
66040.0,7.0,18.0,54.0,186.0,1067.0,2195.0,131.0,401.3
216723.0,1.0,33.0,222.0,298.0,1497.0,6479.0,753.0,255.6
198177.0,1.0,49.0,134.0,787.0,698.0,3691.0,255.0,490.0
34844.0,1.0,8.0,13.0,65.0,153.0,642.0,15.0,249.7
828871.0,25.0,100.0,1512.0,2405.0,3493.0,17584.0,1499.0,487.7
31109.0,6.0,28.0,18.0,134.0,672.0,1604.0,124.0,597.9
29619.0,0.0,6.0,2.0,56.0,161.0,359.0,26.0,216.1
605436.0,309.0,367.0,5130.0,5415.0,6074.0,17102.0,4389.0,1853.4
247147.0,5.0,39.0,148.0,451.0,779.0,2965.0,207.0,260.2
32376.0,1.0,9.0,54.0,124.0,242.0,720.0,38.0,580.7
40563.0,2.0,8.0,15.0,88.0,269.0,587.0,55.0,278.6
51408.0,2.0,26.0,43.0,106.0,220.0,1514.0,39.0,344.3
81858.0,1.0,18.0,18.0,80.0,447.0,1570.0,55.0,142.9
30952.0,1.0,20.0,27.0,169.0,247.0,930.0,66.0,701.1
710514.0,43.0,303.0,2307.0,5090.0,8322.0,25586.0,5619.0,1089.8
777056.0,21.0,189.0,993.0,1296.0,4971.0,22821.0,3134.0,321.6
102940.0,6.0,39.0,152.0,476.0,967.0,2263.0,195.0,653.8
16640.0,0.0,1.0,6.0,42.0,226.0,314.0,21.0,294.5
91047.0,0.0,1.0,30.0,100.0,347.0,1144.0,43.0,143.9
61157.0,1.0,12.0,25.0,212.0,603.0,1386.0,134.0,408.8
249859.0,9.0,42.0,121.0,380.0,569.0,2813.0,90.0,220.9
30382.0,2.0,5.0,3.0,60.0,190.0,339.0,22.0,230.4
26174.0,3.0,1.0,13.0,50.0,211.0,556.0,36.0,256.0
140650.0,2.0,43.0,115.0,388.0,1575.0,3427.0,241.0,389.6
20232.0,0.0,0.0,22.0,42.0,100.0,227.0,10.0,316.3
682233.0,47.0,366.0,2567.0,2944.0,10156.0,20854.0,5920.0,868.3
23824.0,1.0,12.0,8.0,108.0,262.0,426.0,35.0,541.5
129186.0,3.0,26.0,117.0,356.0,660.0,1947.0,256.0,388.6
583513.0,13.0,167.0,955.0,733.0,7135.0,19958.0,2000.0,320.1
30829.0,3.0,19.0,32.0,111.0,778.0,1751.0,107.0,535.2
702535.0,19.0,184.0,812.0,973.0,5529.0,19887.0,3218.0,283.0
144340.0,3.0,26.0,109.0,336.0,1989.0,3374.0,282.0,328.4
27524.0,0.0,7.0,14.0,80.0,273.0,648.0,41.0,367.0
101431.0,3.0,38.0,142.0,321.0,837.0,2420.0,111.0,496.9
31130.0,2.0,8.0,22.0,173.0,224.0,736.0,58.0,658.5
101594.0,2.0,31.0,101.0,319.0,673.0,2662.0,96.0,445.9
