population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
49804,0,8,42,221,439,1789,71,1
55035,3,11,23,78,548,969,82,0
184690,1,48,96,528,829,3013,213,0
116584,5,14,73,579,761,2597,141,1
71845,0,19,20,244,394,1624,78,1
26259,1,3,21,71,234,626,40,0
105411,4,12,40,267,486,1655,103,0
80901,3,23,51,260,541,1452,70,1
101533,2,11,44,247,519,1567,135,0
102522,2,20,63,221,331,1610,143,0
28420,2,17,11,88,190,405,28,1
101154,8,28,89,509,843,2707,457,1
32453,1,12,39,135,219,909,51,1
33693,1,13,21,91,342,633,42,0
910354,75,201,1211,1341,1696,12325,2714,0
49023,2,11,8,99,213,741,28,0
31147,0,9,43,122,229,840,77,1
124225,6,41,186,642,698,2906,464,1
822814,20,125,1511,2544,3949,18301,1463,1
75274,1,15,21,343,384,1591,102,1
251859,10,53,133,342,477,2290,84,0
943025,21,136,1192,882,3760,19678,2384,0
427239,16,131,462,1017,4329,12448,2197,1
32795,0,6,11,39,149,428,34,0
79936,4,42,158,436,868,2493,218,1
86000,1,9,21,115,535,1055,86,0
769456,26,220,1045,1281,5263,23538,3378,0
55740,3,11,34,119,572,1295,131,0
669127,76,375,2998,2257,12622,24061,4587,1
114891,6,18,59,214,788,1788,167,0
48890,0,6,17,73,187,490,21,0
29166,0,6,2,52,84,277,14,0
680363,52,288,2445,2024,11342,27861,4722,1
764160,127,413,3984,3815,10352,28544,9477,1
32174,0,4,33,149,274,877,70,1
120546,4,27,130,532,635,2801,365,1
19624,4,5,5,45,202,251,11,0
150339,6,24,153,296,809,2195,231,0
73599,4,17,46,232,685,1975,170,1
162578,5,64,127,393,304,2067,162,0
508071,24,93,753,2633,3107,13234,1441,1
79034,4,47,192,505,1156,3103,222,1
245356,7,34,107,448,591,2800,110,0
19856,0,3,8,47,140,211,29,0
719587,313,480,8665,8072,12841,39581,8856,1
30124,1,3,21,159,272,640,37,1
573631,25,168,473,1382,1359,8445,688,0
103219,1,36,77,312,392,1925,89,1
241868,5,18,141,450,742,3234,150,0
1054933,26,319,737,805,1658,13449,828,0
671342,37,349,2295,2022,12325,26254,4044,1
78947,1,11,12,97,432,1393,60,0
130240,4,38,152,579,709,3036,585,1
19220,0,7,3,29,135,274,28,0
33812,3,6,14,66,223,704,36,0
70140,0,24,44,160,349,1111,61,0
784118,29,198,1565,4388,4942,19019,2936,1
29991,1,6,8,163,280,738,27,1
216208,6,34,146,377,936,3582,359,0
93582,3,12,32,261,488,1314,107,0
30380,4,10,36,154,349,744,46,1
29839,0,2,5,121,174,375,23,1
79503,3,36,156,538,1036,3341,248,1
46543,0,18,52,281,400,1871,96,1
23440,4,4,10,86,214,294,30,1
663207,51,393,2613,2314,12417,26833,4466,1
30681,3,13,22,152,200,547,48,1
70868,2,14,31,259,677,1185,170,1
74946,0,17,15,206,464,1620,66,0
769740,142,344,4078,4499,9319,30052,11644,1
54901,4,14,22,157,706,1116,138,0
110294,3,6,62,172,641,1741,119,0
96782,5,15,61,239,557,1662,177,0
90031,4,14,27,62,381,1190,64,0
831374,35,319,1498,2564,3695,17763,2070,1
798175,227,553,9357,6592,16501,36520,4462,1
28138,1,4,4,95,153,328,40,0
75155,1,15,8,340,441,1739,69,1
102047,2,23,155,566,977,2439,248,1
35792,0,10,4,92,246,544,39,0
70413,3,39,108,416,1080,2321,140,1
160989,2,48,113,357,1725,5121,799,0
36680,4,13,16,139,722,2186,88,1
75723,5,13,33,330,629,1435,167,1
31034,0,15,26,176,333,815,54,1
24671,2,7,9,113,230,435,33,1
128265,4,22,107,280,667,1960,258,0
58201,2,11,16,179,300,841,48,0
776836,107,305,3146,4310,8913,27506,9836,1
860974,200,460,7764,5788,15443,32711,5903,1
85901,3,41,166,806,932,2753,231,1
464193,12,90,580,1416,3817,14055,1760,1
711951,122,302,3517,3468,9981,21493,10391,1
98637,1,18,22,199,527,1347,68,0
26795,3,17,15,155,667,1423,90,1
30640,2,19,41,198,255,743,68,1
692134,34,262,1709,5000,7996,22892,5098,1
511140,16,110,767,2403,2986,12391,1631,1
50455,3,10,20,90,565,877,85,0
229831,5,46,248,657,1082,3857,330,1
31500,5,5,49,101,265,871,56,1
31548,1,5,10,97,294,520,42,0
32294,0,6,5,51,153,487,27,0
23528,3,5,15,90,225,410,31,1
201237,5,50,148,691,802,3344,263,1
31953,2,21,19,141,645,1737,110,1
146846,6,22,100,320,1332,3173,226,0
651154,261,366,6634,8774,10751,32134,7871,1
62450,5,15,10,210,377,1104,39,1
112764,2,9,78,223,1123,2321,154,0
26937,0,5,2,30,212,427,31,0
286963,5,26,222,313,1393,5023,389,0
18312,0,1,3,60,143,306,20,0
38253,1,9,15,48,194,459,11,0
846910,13,136,713,830,3873,19017,2667,0
638755,238,158,3726,5579,7856,17101,4632,1
650588,305,374,7462,10536,12386,37524,7255,1
140302,6,25,117,558,964,2618,198,1
18000,2,3,13,88,265,350,20,1
399108,20,133,369,979,5382,11299,1533,0
118443,5,34,80,460,1826,4196,385,1
41801,0,7,14,160,193,615,36,1
17171,0,7,4,31,105,295,18,0
767869,83,347,3263,3579,9203,27344,9287,1
763880,237,519,7418,6592,14359,33531,8468,1
295972,5,33,178,364,1185,4921,313,0
59758,7,16,32,116,610,1393,100,0
32665,0,8,15,71,244,653,22,0
17127,1,10,3,44,168,292,18,0
331390,16,74,413,1514,5662,12736,1986,1
88574,1,15,43,357,614,1827,195,1
40299,1,13,4,212,328,549,66,1
771097,213,594,7794,6949,13988,31810,6027,1
131923,6,21,68,344,670,2184,307,0
34314,0,8,19,44,155,691,28,0
111930,2,28,31,166,413,1591,71,0
60837,7,9,10,121,540,1085,54,0
33080,2,10,28,83,328,703,57,0
27845,4,16,38,178,790,1520,113,1
30885,3,10,15,109,261,799,92,1
43233,0,6,15,145,185,644,37,1
53509,4,11,14,71,613,1124,65,0
160504,2,42,39,321,526,1907,143,0
76343,2,18,30,306,499,1242,160,1
148210,0,25,115,306,692,2145,191,0
168903,3,19,47,237,689,1948,84,0
690668,31,200,1394,5289,9612,23011,3691,1
624237,282,146,3926,5875,7431,17077,5821,1
31048,1,6,29,104,237,735,39,1
113100,0,15,85,166,765,1728,155,0
18820,0,6,2,77,126,321,31,1
361749,13,84,301,728,4430,10633,1264,0
98064,4,7,102,377,884,1848,310,1
26703,1,8,26,164,753,1423,84,1
639872,23,196,1085,3945,10138,24572,3306,1
125217,3,23,83,509,915,2240,179,1
16877,0,2,4,39,109,375,17,0
139202,4,24,202,499,714,3117,435,1
748546,134,452,3786,3917,9882,26914,10210,1
167742,1,37,29,181,213,1311,72,0
75891,2,13,18,302,386,1638,75,1
