year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1989,424124,20,124,468,895,4009,11643,1805,18964,1507,7.9,17457,92.1,4471.3,355.3,4116.0,4.7,29.2,110.3,211.0,945.2,2745.2,425.6
1982,120500,7,35,102,288,1295,3931,421,6079,432,7.1,5647,92.9,5044.8,358.5,4686.3,5.8,29.0,84.6,239.0,1074.7,3262.2,349.4
1975,864100,259,463,9055,6309,15787,30936,7602,70411,16086,22.8,54325,77.2,8148.5,1861.6,6286.9,30.0,53.6,1047.9,730.1,1827.0,3580.1,879.8
2003,918624,23,148,1076,1015,4273,18468,3676,28679,2262,7.9,26417,92.1,3122.0,246.2,2875.7,2.5,16.1,117.1,110.5,465.2,2010.4,400.2
1977,25970,1,9,21,85,214,604,34,968,116,12.0,852,88.0,3727.4,446.7,3280.7,3.9,34.7,80.9,327.3,824.0,2325.8,130.9
1975,20500,5,4,16,30,299,356,21,731,55,7.5,676,92.5,3565.9,268.3,3297.6,24.4,19.5,78.0,146.3,1458.5,1736.6,102.4
1979,92641,2,17,13,196,717,1558,126,2629,228,8.7,2401,91.3,2837.8,246.1,2591.7,2.2,18.4,14.0,211.6,774.0,1681.8,136.0
2017,49084,1,4,4,65,129,459,21,683,74,10.8,609,89.2,1391.5,150.8,1240.7,2.0,8.1,8.1,132.4,262.8,935.1,42.8
1984,30863,0,3,18,97,215,711,38,1082,118,10.9,964,89.1,3505.8,382.3,3123.5,0.0,9.7,58.3,314.3,696.6,2303.7,123.1
1997,78384,1,16,56,327,607,1524,173,2704,400,14.8,2304,85.2,3449.7,510.3,2939.4,1.3,20.4,71.4,417.2,774.4,1944.3,220.7
2019,827068,50,384,1163,3140,2567,16266,1602,25172,4737,18.8,20435,81.2,3043.5,572.7,2470.8,6.0,46.4,140.6,379.7,310.4,1966.7,193.7
2012,30341,1,1,5,64,164,351,25,611,71,11.6,540,88.4,2013.8,234.0,1779.8,3.3,3.3,16.5,210.9,540.5,1156.9,82.4
1984,18973,0,7,3,57,191,212,21,491,67,13.6,424,86.4,2587.9,353.1,2234.8,0.0,36.9,15.8,300.4,1006.7,1117.4,110.7
1993,732968,353,668,12408,8577,18076,42814,10672,93568,22006,23.5,71562,76.5,12765.6,3002.3,9763.3,48.2,91.1,1692.8,1170.2,2466.1,5841.2,1456.0
2011,147940,3,26,176,383,767,2731,280,4366,588,13.5,3778,86.5,2951.2,397.5,2553.7,2.0,17.6,119.0,258.9,518.5,1846.0,189.3
2020,255760,5,34,61,311,234,1441,131,2217,411,18.5,1806,81.5,866.8,160.7,706.1,2.0,13.3,23.9,121.6,91.5,563.4,51.2
2001,30289,1,5,4,17,124,397,22,570,27,4.7,543,95.3,1881.9,89.1,1792.7,3.3,16.5,13.2,56.1,409.4,1310.7,72.6
2000,195277,6,51,119,732,767,3008,265,4948,908,18.4,4040,81.6,2533.8,465.0,2068.9,3.1,26.1,60.9,374.9,392.8,1540.4,135.7
1980,657707,56,427,3314,2261,14298,26948,4458,51762,6058,11.7,45704,88.3,7870.1,921.1,6949.0,8.5,64.9,503.9,343.8,2173.9,4097.3,677.8
1982,25939,1,9,13,51,213,630,42,959,74,7.7,885,92.3,3697.1,285.3,3411.9,3.9,34.7,50.1,196.6,821.2,2428.8,161.9
2006,31909,0,7,18,124,291,610,44,1094,149,13.6,945,86.4,3428.5,467.0,2961.5,0.0,21.9,56.4,388.6,912.0,1911.7,137.9
2009,230359,9,33,179,572,687,3082,175,4737,793,16.7,3944,83.3,2056.4,344.2,1712.1,3.9,14.3,77.7,248.3,298.2,1337.9,76.0
2018,28874,0,13,2,55,106,215,15,406,70,17.2,336,82.8,1406.1,242.4,1163.7,0.0,45.0,6.9,190.5,367.1,744.6,51.9
2011,980991,15,115,878,681,3203,14046,1278,20216,1689,8.4,18527,91.6,2060.8,172.2,1888.6,1.5,11.7,89.5,69.4,326.5,1431.8,130.3
2011,148828,2,9,97,342,862,2213,153,3678,450,12.2,3228,87.8,2471.3,302.4,2168.9,1.3,6.0,65.2,229.8,579.2,1487.0,102.8
2020,588594,334,324,3441,5381,4116,11423,3128,28147,9480,33.7,18667,66.3,4782.1,1610.6,3171.5,56.7,55.0,584.6,914.2,699.3,1940.7,531.4
2018,251139,9,71,108,368,390,2299,143,3388,556,16.4,2832,83.6,1349.1,221.4,1127.7,3.6,28.3,43.0,146.5,155.3,915.4,56.9
2015,102376,9,31,77,249,569,1969,123,3027,366,12.1,2661,87.9,2956.7,357.5,2599.2,8.8,30.3,75.2,243.2,555.8,1923.3,120.1
1996,81382,3,30,45,253,609,1656,78,2674,331,12.4,2343,87.6,3285.7,406.7,2879.0,3.7,36.9,55.3,310.9,748.3,2034.8,95.8
1983,17124,0,2,7,43,122,310,18,502,52,10.4,450,89.6,2931.6,303.7,2627.9,0.0,11.7,40.9,251.1,712.5,1810.3,105.1
1997,19012,1,4,7,44,113,208,19,396,56,14.1,340,85.9,2082.9,294.6,1788.3,5.3,21.0,36.8,231.4,594.4,1094.0,99.9
2001,19482,0,7,10,43,112,209,19,400,60,15.0,340,85.0,2053.2,308.0,1745.2,0.0,35.9,51.3,220.7,574.9,1072.8,97.5
2004,74325,0,23,27,275,488,1481,55,2349,325,13.8,2024,86.2,3160.4,437.3,2723.2,0.0,30.9,36.3,370.0,656.6,1992.6,74.0
2002,777313,29,236,1705,4589,5719,21201,3491,36970,6559,17.7,30411,82.3,4756.1,843.8,3912.3,3.7,30.4,219.3,590.4,735.7,2727.5,449.1
1993,28177,3,6,10,46,205,328,34,632,65,10.3,567,89.7,2243.0,230.7,2012.3,10.6,21.3,35.5,163.3,727.5,1164.1,120.7
2006,169003,1,24,56,293,562,2016,127,3079,374,12.1,2705,87.9,1821.9,221.3,1600.6,0.6,14.2,33.1,173.4,332.5,1192.9,75.1
1977,20200,0,5,9,53,224,294,26,611,67,11.0,544,89.0,3024.8,331.7,2693.1,0.0,24.8,44.6,262.4,1108.9,1455.4,128.7
