year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1983,116584,5,14,73,579,761,2597,141,4170,671,16.1,3499,83.9,3576.8,575.6,3001.3,4.3,12.0,62.6,496.6,652.7,2227.6,120.9
1999,71845,0,19,20,244,394,1624,78,2379,283,11.9,2096,88.1,3311.3,393.9,2917.4,0.0,26.4,27.8,339.6,548.4,2260.4,108.6
1978,26259,1,3,21,71,234,626,40,996,96,9.6,900,90.4,3793.0,365.6,3427.4,3.8,11.4,80.0,270.4,891.1,2383.9,152.3
2010,105411,4,12,40,267,486,1655,103,2567,323,12.6,2244,87.4,2435.2,306.4,2128.8,3.8,11.4,37.9,253.3,461.1,1570.0,97.7
1995,80901,3,23,51,260,541,1452,70,2400,337,14.0,2063,86.0,2966.6,416.6,2550.0,3.7,28.4,63.0,321.4,668.7,1794.8,86.5
2008,101533,2,11,44,247,519,1567,135,2525,304,12.0,2221,88.0,2486.9,299.4,2187.5,2.0,10.8,43.3,243.3,511.2,1543.3,133.0
2019,102522,2,20,63,221,331,1610,143,2390,306,12.8,2084,87.2,2331.2,298.5,2032.7,2.0,19.5,61.5,215.6,322.9,1570.4,139.5
1986,28420,2,17,11,88,190,405,28,741,118,15.9,623,84.1,2607.3,415.2,2192.1,7.0,59.8,38.7,309.6,668.5,1425.1,98.5
1990,101154,8,28,89,509,843,2707,457,4641,634,13.7,4007,86.3,4588.1,626.8,3961.3,7.9,27.7,88.0,503.2,833.4,2676.1,451.8
2015,32453,1,12,39,135,219,909,51,1366,187,13.7,1179,86.3,4209.2,576.2,3632.9,3.1,37.0,120.2,416.0,674.8,2801.0,157.2
2009,33693,1,13,21,91,342,633,42,1143,126,11.0,1017,89.0,3392.4,374.0,3018.4,3.0,38.6,62.3,270.1,1015.0,1878.7,124.7
2019,910354,75,201,1211,1341,1696,12325,2714,19563,2828,14.5,16735,85.5,2148.9,310.6,1838.3,8.2,22.1,133.0,147.3,186.3,1353.9,298.1
2010,49023,2,11,8,99,213,741,28,1102,120,10.9,982,89.1,2247.9,244.8,2003.1,4.1,22.4,16.3,201.9,434.5,1511.5,57.1
2005,31147,0,9,43,122,229,840,77,1320,174,13.2,1146,86.8,4238.0,558.6,3679.3,0.0,28.9,138.1,391.7,735.2,2696.9,247.2
2002,124225,6,41,186,642,698,2906,464,4943,875,17.7,4068,82.3,3979.1,704.4,3274.7,4.8,33.0,149.7,516.8,561.9,2339.3,373.5
2013,822814,20,125,1511,2544,3949,18301,1463,27913,4200,15.0,23713,85.0,3392.4,510.4,2881.9,2.4,15.2,183.6,309.2,479.9,2224.2,177.8
1993,75274,1,15,21,343,384,1591,102,2457,380,15.5,2077,84.5,3264.1,504.8,2759.3,1.3,19.9,27.9,455.7,510.1,2113.6,135.5
2017,251859,10,53,133,342,477,2290,84,3389,538,15.9,2851,84.1,1345.6,213.6,1132.0,4.0,21.0,52.8,135.8,189.4,909.2,33.4
2008,943025,21,136,1192,882,3760,19678,2384,28053,2231,8.0,25822,92.0,2974.8,236.6,2738.2,2.2,14.4,126.4,93.5,398.7,2086.7,252.8
1990,427239,16,131,462,1017,4329,12448,2197,20600,1626,7.9,18974,92.1,4821.7,380.6,4441.1,3.7,30.7,108.1,238.0,1013.3,2913.6,514.2
2017,32795,0,6,11,39,149,428,34,667,56,8.4,611,91.6,2033.8,170.8,1863.1,0.0,18.3,33.5,118.9,454.3,1305.1,103.7
1999,79936,4,42,158,436,868,2493,218,4219,640,15.2,3579,84.8,5278.0,800.6,4477.3,5.0,52.5,197.7,545.4,1085.9,3118.7,272.7
1977,86000,1,9,21,115,535,1055,86,1822,146,8.0,1676,92.0,2118.6,169.8,1948.8,1.2,10.5,24.4,133.7,622.1,1226.7,100.0
1991,769456,26,220,1045,1281,5263,23538,3378,34751,2572,7.4,32179,92.6,4516.3,334.3,4182.0,3.4,28.6,135.8,166.5,684.0,3059.0,439.0
1975,55740,3,11,34,119,572,1295,131,2165,167,7.7,1998,92.3,3884.1,299.6,3584.5,5.4,19.7,61.0,213.5,1026.2,2323.3,235.0
1982,669127,76,375,2998,2257,12622,24061,4587,46976,5706,12.1,41270,87.9,7020.5,852.8,6167.7,11.4,56.0,448.0,337.3,1886.3,3595.9,685.5
1986,114891,6,18,59,214,788,1788,167,3040,297,9.8,2743,90.2,2646.0,258.5,2387.5,5.2,15.7,51.4,186.3,685.9,1556.3,145.4
2015,48890,0,6,17,73,187,490,21,794,96,12.1,698,87.9,1624.1,196.4,1427.7,0.0,12.3,34.8,149.3,382.5,1002.2,43.0
2016,29166,0,6,2,52,84,277,14,435,60,13.8,375,86.2,1491.5,205.7,1285.7,0.0,20.6,6.9,178.3,288.0,949.7,48.0
1975,680363,52,288,2445,2024,11342,27861,4722,48734,4809,9.9,43925,90.1,7162.9,706.8,6456.1,7.6,42.3,359.4,297.5,1667.1,4095.0,694.0
1994,764160,127,413,3984,3815,10352,28544,9477,56712,8339,14.7,48373,85.3,7421.5,1091.3,6330.2,16.6,54.0,521.4,499.2,1354.7,3735.3,1240.2
2017,32174,0,4,33,149,274,877,70,1407,186,13.2,1221,86.8,4373.1,578.1,3795.0,0.0,12.4,102.6,463.1,851.6,2725.8,217.6
2000,120546,4,27,130,532,635,2801,365,4494,693,15.4,3801,84.6,3728.0,574.9,3153.2,3.3,22.4,107.8,441.3,526.8,2323.6,302.8
1977,19624,4,5,5,45,202,251,11,523,59,11.3,464,88.7,2665.1,300.7,2364.5,20.4,25.5,25.5,229.3,1029.4,1279.0,56.1
2014,150339,6,24,153,296,809,2195,231,3714,479,12.9,3235,87.1,2470.4,318.6,2151.8,4.0,16.0,101.8,196.9,538.1,1460.0,153.7
1982,73599,4,17,46,232,685,1975,170,3129,299,9.6,2830,90.4,4251.4,406.3,3845.2,5.4,23.1,62.5,315.2,930.7,2683.5,231.0
2019,162578,5,64,127,393,304,2067,162,3122,589,18.9,2533,81.1,1920.3,362.3,1558.0,3.1,39.4,78.1,241.7,187.0,1271.4,99.6
2003,508071,24,93,753,2633,3107,13234,1441,21285,3503,16.5,17782,83.5,4189.4,689.5,3499.9,4.7,18.3,148.2,518.2,611.5,2604.8,283.6
1995,79034,4,47,192,505,1156,3103,222,5229,748,14.3,4481,85.7,6616.1,946.4,5669.7,5.1,59.5,242.9,639.0,1462.7,3926.2,280.9
2015,245356,7,34,107,448,591,2800,110,4097,596,14.5,3501,85.5,1669.8,242.9,1426.9,2.9,13.9,43.6,182.6,240.9,1141.2,44.8
2004,19856,0,3,8,47,140,211,29,438,58,13.2,380,86.8,2205.9,292.1,1913.8,0.0,15.1,40.3,236.7,705.1,1062.7,146.1
1997,719587,313,480,8665,8072,12841,39581,8856,78808,17530,22.2,61278,77.8,10951.8,2436.1,8515.7,43.5,66.7,1204.2,1121.8,1784.5,5500.5,1230.7
1978,30124,1,3,21,159,272,640,37,1133,184,16.2,949,83.8,3761.1,610.8,3150.3,3.3,10.0,69.7,527.8,902.9,2124.6,122.8
2018,573631,25,168,473,1382,1359,8445,688,12540,2048,16.3,10492,83.7,2186.1,357.0,1829.1,4.4,29.3,82.5,240.9,236.9,1472.2,119.9
2019,103219,1,36,77,312,392,1925,89,2832,426,15.0,2406,85.0,2743.7,412.7,2331.0,1.0,34.9,74.6,302.3,379.8,1865.0,86.2
2013,241868,5,18,141,450,742,3234,150,4740,614,13.0,4126,87.0,1959.7,253.9,1705.9,2.1,7.4,58.3,186.1,306.8,1337.1,62.0
2017,1054933,26,319,737,805,1658,13449,828,17822,1887,10.6,15935,89.4,1689.4,178.9,1510.5,2.5,30.2,69.9,76.3,157.2,1274.9,78.5
1978,671342,37,349,2295,2022,12325,26254,4044,47326,4703,9.9,42623,90.1,7049.5,700.5,6348.9,5.5,52.0,341.9,301.2,1835.9,3910.7,602.4
1986,78947,1,11,12,97,432,1393,60,2006,121,6.0,1885,94.0,2540.9,153.3,2387.7,1.3,13.9,15.2,122.9,547.2,1764.5,76.0
2003,130240,4,38,152,579,709,3036,585,5103,773,15.1,4330,84.9,3918.2,593.5,3324.6,3.1,29.2,116.7,444.6,544.4,2331.1,449.2
1998,19220,0,7,3,29,135,274,28,476,39,8.2,437,91.8,2476.6,202.9,2273.7,0.0,36.4,15.6,150.9,702.4,1425.6,145.7
2000,33812,3,6,14,66,223,704,36,1052,89,8.5,963,91.5,3111.3,263.2,2848.1,8.9,17.7,41.4,195.2,659.5,2082.1,106.5
2019,70140,0,24,44,160,349,1111,61,1749,228,13.0,1521,87.0,2493.6,325.1,2168.5,0.0,34.2,62.7,228.1,497.6,1584.0,87.0
2004,784118,29,198,1565,4388,4942,19019,2936,33077,6180,18.7,26897,81.3,4218.4,788.1,3430.2,3.7,25.3,199.6,559.6,630.3,2425.5,374.4
1977,29991,1,6,8,163,280,738,27,1223,178,14.6,1045,85.4,4077.9,593.5,3484.4,3.3,20.0,26.7,543.5,933.6,2460.7,90.0
1999,216208,6,34,146,377,936,3582,359,5440,563,10.3,4877,89.7,2516.1,260.4,2255.7,2.8,15.7,67.5,174.4,432.9,1656.7,166.0
2004,93582,3,12,32,261,488,1314,107,2217,308,13.9,1909,86.1,2369.0,329.1,2039.9,3.2,12.8,34.2,278.9,521.5,1404.1,114.3
1987,30380,4,10,36,154,349,744,46,1343,204,15.2,1139,84.8,4420.7,671.5,3749.2,13.2,32.9,118.5,506.9,1148.8,2449.0,151.4
2013,29839,0,2,5,121,174,375,23,700,128,18.3,572,81.7,2345.9,429.0,1917.0,0.0,6.7,16.8,405.5,583.1,1256.7,77.1
1996,79503,3,36,156,538,1036,3341,248,5358,733,13.7,4625,86.3,6739.4,922.0,5817.4,3.8,45.3,196.2,676.7,1303.1,4202.4,311.9
2000,46543,0,18,52,281,400,1871,96,2718,351,12.9,2367,87.1,5839.8,754.1,5085.6,0.0,38.7,111.7,603.7,859.4,4019.9,206.3
1990,23440,4,4,10,86,214,294,30,642,104,16.2,538,83.8,2738.9,443.7,2295.2,17.1,17.1,42.7,366.9,913.0,1254.3,128.0
1979,663207,51,393,2613,2314,12417,26833,4466,49087,5371,10.9,43716,89.1,7401.5,809.9,6591.6,7.7,59.3,394.0,348.9,1872.3,4045.9,673.4
2002,30681,3,13,22,152,200,547,48,985,190,19.3,795,80.7,3210.5,619.3,2591.2,9.8,42.4,71.7,495.4,651.9,1782.9,156.4
1988,70868,2,14,31,259,677,1185,170,2338,306,13.1,2032,86.9,3299.1,431.8,2867.3,2.8,19.8,43.7,365.5,955.3,1672.1,239.9
1990,74946,0,17,15,206,464,1620,66,2388,238,10.0,2150,90.0,3186.3,317.6,2868.7,0.0,22.7,20.0,274.9,619.1,2161.6,88.1
1996,769740,142,344,4078,4499,9319,30052,11644,60078,9063,15.1,51015,84.9,7805.0,1177.4,6627.6,18.4,44.7,529.8,584.5,1210.7,3904.2,1512.7
1977,54901,4,14,22,157,706,1116,138,2157,197,9.1,1960,90.9,3928.9,358.8,3570.1,7.3,25.5,40.1,286.0,1286.0,2032.7,251.4
2013,110294,3,6,62,172,641,1741,119,2744,243,8.9,2501,91.1,2487.9,220.3,2267.6,2.7,5.4,56.2,155.9,581.2,1578.5,107.9
2006,96782,5,15,61,239,557,1662,177,2716,320,11.8,2396,88.2,2806.3,330.6,2475.7,5.2,15.5,63.0,246.9,575.5,1717.3,182.9
2013,90031,4,14,27,62,381,1190,64,1742,107,6.1,1635,93.9,1934.9,118.8,1816.0,4.4,15.6,30.0,68.9,423.2,1321.8,71.1
2016,831374,35,319,1498,2564,3695,17763,2070,27944,4416,15.8,23528,84.2,3361.2,531.2,2830.0,4.2,38.4,180.2,308.4,444.4,2136.6,249.0
1982,798175,227,553,9357,6592,16501,36520,4462,74212,16729,22.5,57483,77.5,9297.7,2095.9,7201.8,28.4,69.3,1172.3,825.9,2067.3,4575.4,559.0
1990,28138,1,4,4,95,153,328,40,625,104,16.6,521,83.4,2221.2,369.6,1851.6,3.6,14.2,14.2,337.6,543.7,1165.7,142.2
1997,75155,1,15,8,340,441,1739,69,2613,364,13.9,2249,86.1,3476.8,484.3,2992.5,1.3,20.0,10.6,452.4,586.8,2313.9,91.8
2009,102047,2,23,155,566,977,2439,248,4410,746,16.9,3664,83.1,4321.5,731.0,3590.5,2.0,22.5,151.9,554.6,957.4,2390.1,243.0
1994,35792,0,10,4,92,246,544,39,935,106,11.3,829,88.7,2612.3,296.2,2316.2,0.0,27.9,11.2,257.0,687.3,1519.9,109.0
1987,70413,3,39,108,416,1080,2321,140,4107,566,13.8,3541,86.2,5832.7,803.8,5028.9,4.3,55.4,153.4,590.8,1533.8,3296.3,198.8
1988,160989,2,48,113,357,1725,5121,799,8165,520,6.4,7645,93.6,5071.8,323.0,4748.8,1.2,29.8,70.2,221.8,1071.5,3181.0,496.3
1987,36680,4,13,16,139,722,2186,88,3168,172,5.4,2996,94.6,8636.9,468.9,8167.9,10.9,35.4,43.6,379.0,1968.4,5959.7,239.9
1993,75723,5,13,33,330,629,1435,167,2612,381,14.6,2231,85.4,3449.4,503.1,2946.3,6.6,17.2,43.6,435.8,830.7,1895.1,220.5
1992,31034,0,15,26,176,333,815,54,1419,217,15.3,1202,84.7,4572.4,699.2,3873.2,0.0,48.3,83.8,567.1,1073.0,2626.2,174.0
1998,24671,2,7,9,113,230,435,33,829,131,15.8,698,84.2,3360.2,531.0,2829.2,8.1,28.4,36.5,458.0,932.3,1763.2,133.8
1999,128265,4,22,107,280,667,1960,258,3298,413,12.5,2885,87.5,2571.2,322.0,2249.2,3.1,17.2,83.4,218.3,520.0,1528.1,201.1
1994,58201,2,11,16,179,300,841,48,1397,208,14.9,1189,85.1,2400.3,357.4,2042.9,3.4,18.9,27.5,307.6,515.5,1445.0,82.5
1998,776836,107,305,3146,4310,8913,27506,9836,54123,7868,14.5,46255,85.5,6967.1,1012.8,5954.3,13.8,39.3,405.0,554.8,1147.3,3540.8,1266.2
1976,860974,200,460,7764,5788,15443,32711,5903,68269,14212,20.8,54057,79.2,7929.3,1650.7,6278.6,23.2,53.4,901.8,672.3,1793.7,3799.3,685.6
2001,85901,3,41,166,806,932,2753,231,4932,1016,20.6,3916,79.4,5741.5,1182.8,4558.7,3.5,47.7,193.2,938.3,1085.0,3204.9,268.9
1997,464193,12,90,580,1416,3817,14055,1760,21730,2098,9.7,19632,90.3,4681.2,452.0,4229.3,2.6,19.4,124.9,305.0,822.3,3027.8,379.2
1989,711951,122,302,3517,3468,9981,21493,10391,49274,7409,15.0,41865,85.0,6921.0,1040.7,5880.3,17.1,42.4,494.0,487.1,1401.9,3018.9,1459.5
1983,98637,1,18,22,199,527,1347,68,2182,240,11.0,1942,89.0,2212.2,243.3,1968.8,1.0,18.2,22.3,201.7,534.3,1365.6,68.9
1976,26795,3,17,15,155,667,1423,90,2370,190,8.0,2180,92.0,8844.9,709.1,8135.8,11.2,63.4,56.0,578.5,2489.3,5310.7,335.9
1995,30640,2,19,41,198,255,743,68,1326,260,19.6,1066,80.4,4327.7,848.6,3479.1,6.5,62.0,133.8,646.2,832.2,2424.9,221.9
1990,692134,34,262,1709,5000,7996,22892,5098,42991,7005,16.3,35986,83.7,6211.4,1012.1,5199.3,4.9,37.9,246.9,722.4,1155.3,3307.5,736.6
2004,511140,16,110,767,2403,2986,12391,1631,20304,3296,16.2,17008,83.8,3972.3,644.8,3327.5,3.1,21.5,150.1,470.1,584.2,2424.2,319.1
1976,50455,3,10,20,90,565,877,85,1650,123,7.5,1527,92.5,3270.2,243.8,3026.5,5.9,19.8,39.6,178.4,1119.8,1738.2,168.5
2003,229831,5,46,248,657,1082,3857,330,6225,956,15.4,5269,84.6,2708.5,416.0,2292.6,2.2,20.0,107.9,285.9,470.8,1678.2,143.6
2007,31500,5,5,49,101,265,871,56,1352,160,11.8,1192,88.2,4292.1,507.9,3784.1,15.9,15.9,155.6,320.6,841.3,2765.1,177.8
1979,31548,1,5,10,97,294,520,42,969,113,11.7,856,88.3,3071.5,358.2,2713.3,3.2,15.8,31.7,307.5,931.9,1648.3,133.1
2016,32294,0,6,5,51,153,487,27,729,62,8.5,667,91.5,2257.4,192.0,2065.4,0.0,18.6,15.5,157.9,473.8,1508.0,83.6
1981,23528,3,5,15,90,225,410,31,779,113,14.5,666,85.5,3310.9,480.3,2830.7,12.8,21.3,63.8,382.5,956.3,1742.6,131.8
2002,201237,5,50,148,691,802,3344,263,5303,894,16.9,4409,83.1,2635.2,444.3,2190.9,2.5,24.8,73.5,343.4,398.5,1661.7,130.7
1984,31953,2,21,19,141,645,1737,110,2675,183,6.8,2492,93.2,8371.7,572.7,7799.0,6.3,65.7,59.5,441.3,2018.6,5436.1,344.3
1982,146846,6,22,100,320,1332,3173,226,5179,448,8.7,4731,91.3,3526.8,305.1,3221.7,4.1,15.0,68.1,217.9,907.1,2160.8,153.9
2000,651154,261,366,6634,8774,10751,32134,7871,66791,16035,24.0,50756,76.0,10257.3,2462.6,7794.8,40.1,56.2,1018.8,1347.5,1651.1,4934.9,1208.8
1984,62450,5,15,10,210,377,1104,39,1760,240,13.6,1520,86.4,2818.3,384.3,2433.9,8.0,24.0,16.0,336.3,603.7,1767.8,62.4
1980,112764,2,9,78,223,1123,2321,154,3910,312,8.0,3598,92.0,3467.4,276.7,3190.7,1.8,8.0,69.2,197.8,995.9,2058.3,136.6
1981,26937,0,5,2,30,212,427,31,707,37,5.2,670,94.8,2624.6,137.4,2487.3,0.0,18.6,7.4,111.4,787.0,1585.2,115.1
2010,286963,5,26,222,313,1393,5023,389,7371,566,7.7,6805,92.3,2568.6,197.2,2371.4,1.7,9.1,77.4,109.1,485.4,1750.4,135.6
1992,18312,0,1,3,60,143,306,20,533,64,12.0,469,88.0,2910.7,349.5,2561.2,0.0,5.5,16.4,327.7,780.9,1671.0,109.2
2013,38253,1,9,15,48,194,459,11,737,73,9.9,664,90.1,1926.6,190.8,1735.8,2.6,23.5,39.2,125.5,507.1,1199.9,28.8
1999,846910,13,136,713,830,3873,19017,2667,27249,1692,6.2,25557,93.8,3217.5,199.8,3017.7,1.5,16.1,84.2,98.0,457.3,2245.5,314.9
2009,638755,238,158,3726,5579,7856,17101,4632,39290,9701,24.7,29589,75.3,6151.0,1518.7,4632.3,37.3,24.7,583.3,873.4,1229.9,2677.2,725.2
1999,650588,305,374,7462,10536,12386,37524,7255,75842,18677,24.6,57165,75.4,11657.5,2870.8,8786.7,46.9,57.5,1147.0,1619.5,1903.8,5767.7,1115.1
1988,140302,6,25,117,558,964,2618,198,4486,706,15.7,3780,84.3,3197.4,503.2,2694.2,4.3,17.8,83.4,397.7,687.1,1866.0,141.1
1975,18000,2,3,13,88,265,350,20,741,106,14.3,635,85.7,4116.7,588.9,3527.8,11.1,16.7,72.2,488.9,1472.2,1944.4,111.1
1986,399108,20,133,369,979,5382,11299,1533,19715,1501,7.6,18214,92.4,4939.8,376.1,4563.7,5.0,33.3,92.5,245.3,1348.5,2831.1,384.1
1980,118443,5,34,80,460,1826,4196,385,6986,579,8.3,6407,91.7,5898.2,488.8,5409.4,4.2,28.7,67.5,388.4,1541.7,3542.6,325.1
2002,41801,0,7,14,160,193,615,36,1025,181,17.7,844,82.3,2452.1,433.0,2019.1,0.0,16.7,33.5,382.8,461.7,1471.3,86.1
1987,17171,0,7,4,31,105,295,18,460,42,9.1,418,90.9,2678.9,244.6,2434.3,0.0,40.8,23.3,180.5,611.5,1718.0,104.8
1997,767869,83,347,3263,3579,9203,27344,9287,53106,7272,13.7,45834,86.3,6916.0,947.0,5969.0,10.8,45.2,424.9,466.1,1198.5,3561.0,1209.5
1988,763880,237,519,7418,6592,14359,33531,8468,71124,14766,20.8,56358,79.2,9310.9,1933.0,7377.9,31.0,67.9,971.1,863.0,1879.7,4389.6,1108.6
2012,295972,5,33,178,364,1185,4921,313,6999,580,8.3,6419,91.7,2364.8,196.0,2168.8,1.7,11.1,60.1,123.0,400.4,1662.7,105.8
1976,59758,7,16,32,116,610,1393,100,2274,171,7.5,2103,92.5,3805.3,286.2,3519.2,11.7,26.8,53.5,194.1,1020.8,2331.1,167.3
2013,32665,0,8,15,71,244,653,22,1013,94,9.3,919,90.7,3101.2,287.8,2813.4,0.0,24.5,45.9,217.4,747.0,1999.1,67.4
1986,17127,1,10,3,44,168,292,18,536,58,10.8,478,89.2,3129.6,338.6,2790.9,5.8,58.4,17.5,256.9,980.9,1704.9,105.1
1975,331390,16,74,413,1514,5662,12736,1986,22401,2017,9.0,20384,91.0,6759.7,608.6,6151.1,4.8,22.3,124.6,456.9,1708.6,3843.2,599.3
2002,88574,1,15,43,357,614,1827,195,3052,416,13.6,2636,86.4,3445.7,469.7,2976.0,1.1,16.9,48.5,403.1,693.2,2062.7,220.2
1986,40299,1,13,4,212,328,549,66,1173,230,19.6,943,80.4,2910.7,570.7,2340.0,2.5,32.3,9.9,526.1,813.9,1362.3,163.8
1985,771097,213,594,7794,6949,13988,31810,6027,67375,15550,23.1,51825,76.9,8737.6,2016.6,6720.9,27.6,77.0,1010.8,901.2,1814.0,4125.3,781.6
2000,131923,6,21,68,344,670,2184,307,3600,439,12.2,3161,87.8,2728.9,332.8,2396.1,4.5,15.9,51.5,260.8,507.9,1655.5,232.7
2001,34314,0,8,19,44,155,691,28,945,71,7.5,874,92.5,2754.0,206.9,2547.1,0.0,23.3,55.4,128.2,451.7,2013.8,81.6
2016,111930,2,28,31,166,413,1591,71,2302,227,9.9,2075,90.1,2056.6,202.8,1853.8,1.8,25.0,27.7,148.3,369.0,1421.4,63.4
1982,60837,7,9,10,121,540,1085,54,1826,147,8.1,1679,91.9,3001.5,241.6,2759.8,11.5,14.8,16.4,198.9,887.6,1783.5,88.8
2008,33080,2,10,28,83,328,703,57,1211,123,10.2,1088,89.8,3660.8,371.8,3289.0,6.0,30.2,84.6,250.9,991.5,2125.2,172.3
1978,27845,4,16,38,178,790,1520,113,2659,236,8.9,2423,91.1,9549.3,847.5,8701.7,14.4,57.5,136.5,639.3,2837.1,5458.8,405.8
2004,30885,3,10,15,109,261,799,92,1289,137,10.6,1152,89.4,4173.5,443.6,3730.0,9.7,32.4,48.6,352.9,845.1,2587.0,297.9
2003,43233,0,6,15,145,185,644,37,1032,166,16.1,866,83.9,2387.1,384.0,2003.1,0.0,13.9,34.7,335.4,427.9,1489.6,85.6
1978,53509,4,11,14,71,613,1124,65,1902,100,5.3,1802,94.7,3554.5,186.9,3367.7,7.5,20.6,26.2,132.7,1145.6,2100.6,121.5
2003,160504,2,42,39,321,526,1907,143,2980,404,13.6,2576,86.4,1856.7,251.7,1604.9,1.2,26.2,24.3,200.0,327.7,1188.1,89.1
1994,76343,2,18,30,306,499,1242,160,2257,356,15.8,1901,84.2,2956.4,466.3,2490.1,2.6,23.6,39.3,400.8,653.6,1626.9,209.6
2010,148210,0,25,115,306,692,2145,191,3474,446,12.8,3028,87.2,2344.0,300.9,2043.0,0.0,16.9,77.6,206.5,466.9,1447.3,128.9
2012,168903,3,19,47,237,689,1948,84,3027,306,10.1,2721,89.9,1792.2,181.2,1611.0,1.8,11.2,27.8,140.3,407.9,1153.3,49.7
1986,690668,31,200,1394,5289,9612,23011,3691,43228,6914,16.0,36314,84.0,6258.9,1001.1,5257.8,4.5,29.0,201.8,765.8,1391.7,3331.7,534.4
2007,624237,282,146,3926,5875,7431,17077,5821,40558,10229,25.2,30329,74.8,6497.2,1638.6,4858.6,45.2,23.4,628.9,941.1,1190.4,2735.7,932.5
1991,31048,1,6,29,104,237,735,39,1151,140,12.2,1011,87.8,3707.2,450.9,3256.2,3.2,19.3,93.4,335.0,763.3,2367.3,125.6
1985,113100,0,15,85,166,765,1728,155,2914,266,9.1,2648,90.9,2576.5,235.2,2341.3,0.0,13.3,75.2,146.8,676.4,1527.9,137.0
1995,18820,0,6,2,77,126,321,31,563,85,15.1,478,84.9,2991.5,451.6,2539.9,0.0,31.9,10.6,409.1,669.5,1705.6,164.7
1979,361749,13,84,301,728,4430,10633,1264,17453,1126,6.5,16327,93.5,4824.6,311.3,4513.4,3.6,23.2,83.2,201.2,1224.6,2939.3,349.4
2006,98064,4,7,102,377,884,1848,310,3532,490,13.9,3042,86.1,3601.7,499.7,3102.1,4.1,7.1,104.0,384.4,901.5,1884.5,316.1
1977,26703,1,8,26,164,753,1423,84,2459,199,8.1,2260,91.9,9208.7,745.2,8463.5,3.7,30.0,97.4,614.2,2819.9,5329.0,314.6
1979,639872,23,196,1085,3945,10138,24572,3306,43265,5249,12.1,38016,87.9,6761.5,820.3,5941.2,3.6,30.6,169.6,616.5,1584.4,3840.1,516.7
1985,125217,3,23,83,509,915,2240,179,3952,618,15.6,3334,84.4,3156.1,493.5,2662.6,2.4,18.4,66.3,406.5,730.7,1788.9,143.0
1984,16877,0,2,4,39,109,375,17,546,45,8.2,501,91.8,3235.2,266.6,2968.5,0.0,11.9,23.7,231.1,645.8,2222.0,100.7
2006,139202,4,24,202,499,714,3117,435,4995,729,14.6,4266,85.4,3588.3,523.7,3064.6,2.9,17.2,145.1,358.5,512.9,2239.2,312.5
1992,748546,134,452,3786,3917,9882,26914,10210,55295,8289,15.0,47006,85.0,7387.0,1107.3,6279.6,17.9,60.4,505.8,523.3,1320.2,3595.5,1364.0
2019,167742,1,37,29,181,213,1311,72,1844,248,13.4,1596,86.6,1099.3,147.8,951.5,0.6,22.1,17.3,107.9,127.0,781.6,42.9
1994,75891,2,13,18,302,386,1638,75,2434,335,13.8,2099,86.2,3207.2,441.4,2765.8,2.6,17.1,23.7,397.9,508.6,2158.4,98.8
2015,19664,0,6,22,50,131,170,3,382,78,20.4,304,79.6,1942.6,396.7,1546.0,0.0,30.5,111.9,254.3,666.2,864.5,15.3
2016,37221,0,18,16,49,150,544,14,791,83,10.5,708,89.5,2125.1,223.0,1902.2,0.0,48.4,43.0,131.6,403.0,1461.5,37.6
1995,32243,1,13,17,159,218,810,52,1270,190,15.0,1080,85.0,3938.8,589.3,3349.6,3.1,40.3,52.7,493.1,676.1,2512.2,161.3
2007,144219,7,38,137,324,679,2338,240,3763,506,13.4,3257,86.6,2609.2,350.9,2258.4,4.9,26.3,95.0,224.7,470.8,1621.1,166.4
2014,154633,2,23,148,373,507,2387,157,3597,546,15.2,3051,84.8,2326.2,353.1,1973.1,1.3,14.9,95.7,241.2,327.9,1543.7,101.5
2006,29991,2,7,3,51,156,346,22,587,63,10.7,524,89.3,1957.3,210.1,1747.2,6.7,23.3,10.0,170.1,520.2,1153.7,73.4
2007,36063,0,7,29,76,174,755,37,1078,112,10.4,966,89.6,2989.2,310.6,2678.6,0.0,19.4,80.4,210.7,482.5,2093.6,102.6
2020,36983,0,14,9,86,71,290,7,477,109,22.9,368,77.1,1289.8,294.7,995.1,0.0,37.9,24.3,232.5,192.0,784.1,18.9
2013,73834,4,28,63,154,547,1787,54,2637,249,9.4,2388,90.6,3571.5,337.2,3234.3,5.4,37.9,85.3,208.6,740.9,2420.3,73.1
2012,817761,23,147,1368,2643,4079,17978,1572,27810,4181,15.0,23629,85.0,3400.7,511.3,2889.5,2.8,18.0,167.3,323.2,498.8,2198.4,192.2
1990,27035,1,13,6,39,150,325,40,574,59,10.3,515,89.7,2123.2,218.2,1904.9,3.7,48.1,22.2,144.3,554.8,1202.1,148.0
1993,126701,5,27,70,265,755,1948,180,3250,367,11.3,2883,88.7,2565.1,289.7,2275.4,3.9,21.3,55.2,209.2,595.9,1537.5,142.1
