Population,"Violent Crime Rate per 100,000 People"
76375,250.1
225374,358.1
83937,456.3
30223,271.3
825978,1026.4
90358,308.8
27027,384.8
54182,304.5
71347,577.5
927079,222.2
132818,193.5
60692,346.0
32143,479.1
47016,342.4
32662,321.5
138016,388.4
52730,322.4
726462,843.7
1029182,168.9
142039,559.0
675886,274.6
167646,432.5
66574,377.0
72609,845.6
62998,339.7
72312,446.7
898019,459.7
24810,120.9
48779,594.5
581937,312.2
86374,324.2
160945,430.0
911524,454.1
24223,454.1
76500,213.1
167966,218.5
103425,481.5
107983,560.3
777463,798.5
19610,489.5
74394,547.1
16200,135.8
20016,264.8
152381,359.0
37973,629.4
19642,147.6
38392,231.8
34308,443.0
113834,242.5
605398,271.1
25939,158.1
43096,640.4
141882,523.0
25793,527.3
693240,901.7
29215,578.5
74833,439.6
31742,652.1
79066,208.7
36717,220.6
103829,616.4
39408,271.5
78048,477.9
826094,895.8
622671,1406.4
25635,409.6
566105,408.4
61713,442.4
115420,381.2
634279,1851.2
92169,878.8
52011,357.6
25722,474.3
